#name	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds	name2	cdsStartStat	cdsEndStat
NM_001319217	chr15	-	75012829	75015438	75011882,75013307,75013539,75013754,75013931,75014613,75017781,	75013115,75013394,75013663,75013844,75014058,75015467,75017869,	CYP1A1	cmpl	cmpl
NM_000499	chr15	-	75012829	75015438	75011882,75013307,75013539,75013754,75013931,75014613,75017781,	75013115,75013394,75013663,75013844,75014058,75015464,75017869,	CYP1A1	cmpl	cmpl
NM_001319216	chr15	-	75012829	75015438	75011882,75013539,75013754,75013931,75014613,75017781,	75013115,75013663,75013844,75014058,75015467,75017869,	CYP1A1	cmpl	cmpl
